question,faithfulness,answer_relevancy,context_precision
Who is the Chair and CEO of TriageLogic?,0.0,0.13806763741381609,0.9999999999666667
What is the average call back time according to the Key Features?,0.0,0.10417667185422225,0.5833333333041666
How long must audio records be kept by TriageLogic?,1.0,0.8071413938288593,0.49999999995
Who has the final approval authority for all marketing and sales communications?,1.0,0.9915986178993611,0.9999999999666667
What is the acceptable performance standard score for the end-user satisfaction survey?,1.0,0.9593522090078522,0.8333333332916666
Within what time frame should corrective actions be completed after identifying a problem during an internal investigation?,1.0,0.7160457286718339,0.9999999999
How often are TriageLogic marketing and sales communication materials reviewed by the Marketing Committee?,1.0,0.26114619915626536,0.5833333333041666
Are users of the TriageLogic system required to print information based on standard workflows?,1.0,0.28455318803791324,0.9999999999666667
How does TriageLogic define 'Plain Language'?,1.0,0.21259452797910913,0.9999999999
What is the procedure if both the primary and backup servers are unavailable?,0.8,0.9055894202468261,0.9999999999666667
